numColumn,threshold,numRecord,seed,time
1024,100000,1024,26914,425
1024,100000,1024,2917,431
1024,100000,1024,12502,422
1024,100000,1024,25731,412
1024,100000,1024,17258,439
1024,100000,1024,18205,417
1024,100000,1024,28735,412
1024,100000,1024,22487,410
1024,100000,1024,14604,414
1024,100000,1024,19106,422
1024,100000,1024,16042,432
1024,100000,1024,20196,422
1024,100000,1024,25904,414
1024,100000,1024,27026,422
1024,100000,1024,29200,419
1024,100000,1024,5466,433
1024,100000,1024,15387,638
1024,100000,1024,294,426
1024,100000,1024,1168,433
1024,100000,1024,18277,468
1024,100000,1024,2459,415
1024,100000,2048,26914,892
1024,100000,2048,2917,908
1024,100000,2048,12502,891
1024,100000,2048,25731,906
1024,100000,2048,17258,914
1024,100000,2048,18205,901
1024,100000,2048,28735,890
1024,100000,2048,22487,900
1024,100000,2048,14604,890
1024,100000,2048,19106,893
1024,100000,2048,16042,966
1024,100000,2048,20196,908
1024,100000,2048,25904,910
1024,100000,2048,27026,880
1024,100000,2048,29200,1021
1024,100000,2048,5466,999
1024,100000,2048,15387,1036
1024,100000,2048,294,892
1024,100000,2048,1168,965
1024,100000,2048,18277,913
1024,100000,2048,2459,892
1024,100000,4096,26914,1624
1024,100000,4096,2917,1807
1024,100000,4096,12502,1600
1024,100000,4096,25731,1635
1024,100000,4096,17258,1612
1024,100000,4096,18205,1597
1024,100000,4096,28735,1726
1024,100000,4096,22487,1621
1024,100000,4096,14604,1619
1024,100000,4096,19106,1611
1024,100000,4096,16042,1656
1024,100000,4096,20196,1625
1024,100000,4096,25904,1610
1024,100000,4096,27026,1615
1024,100000,4096,29200,1611
1024,100000,4096,5466,1643
1024,100000,4096,15387,1599
1024,100000,4096,294,1611
1024,100000,4096,1168,1623
1024,100000,4096,18277,1638
1024,100000,4096,2459,1621
1024,100000,8192,26914,2558
1024,100000,8192,2917,2579
1024,100000,8192,12502,2560
1024,100000,8192,25731,2832
1024,100000,8192,17258,2596
1024,100000,8192,18205,2567
1024,100000,8192,28735,2575
1024,100000,8192,22487,2551
1024,100000,8192,14604,2669
1024,100000,8192,19106,2577
1024,100000,8192,16042,2685
1024,100000,8192,20196,2567
1024,100000,8192,25904,2586
1024,100000,8192,27026,2640
1024,100000,8192,29200,2627
1024,100000,8192,5466,2569
1024,100000,8192,15387,2641
1024,100000,8192,294,2569
1024,100000,8192,1168,2658
1024,100000,8192,18277,2580
1024,100000,8192,2459,2647
1024,100000,16384,26914,3681
1024,100000,16384,2917,3504
1024,100000,16384,12502,3447
1024,100000,16384,25731,3439
1024,100000,16384,17258,3540
1024,100000,16384,18205,3542
1024,100000,16384,28735,3515
1024,100000,16384,22487,3454
1024,100000,16384,14604,3448
1024,100000,16384,19106,3575
1024,100000,16384,16042,3464
1024,100000,16384,20196,3463
1024,100000,16384,25904,3474
1024,100000,16384,27026,3649
1024,100000,16384,29200,3492
1024,100000,16384,5466,3441
1024,100000,16384,15387,3423
1024,100000,16384,294,3492
1024,100000,16384,1168,3557
1024,100000,16384,18277,3436
1024,100000,16384,2459,3453
1024,100000,32768,26914,8821
1024,100000,32768,2917,8702
1024,100000,32768,12502,9510
1024,100000,32768,25731,9262
1024,100000,32768,17258,8902
1024,100000,32768,18205,8891
1024,100000,32768,28735,8784
1024,100000,32768,22487,8921
1024,100000,32768,14604,9228
1024,100000,32768,19106,9051
1024,100000,32768,16042,8983
1024,100000,32768,20196,8699
1024,100000,32768,25904,8715
1024,100000,32768,27026,8744
1024,100000,32768,29200,8999
1024,100000,32768,5466,8991
1024,100000,32768,15387,8671
1024,100000,32768,294,9072
1024,100000,32768,1168,8682
1024,100000,32768,18277,9726
1024,100000,32768,2459,8960
1024,100000,65536,26914,15598
1024,100000,65536,2917,15727
1024,100000,65536,12502,15559
1024,100000,65536,25731,15592
1024,100000,65536,17258,15339
1024,100000,65536,18205,15268
1024,100000,65536,28735,15336
1024,100000,65536,22487,15145
1024,100000,65536,14604,15339
1024,100000,65536,19106,15548
1024,100000,65536,16042,15770
1024,100000,65536,20196,15297
1024,100000,65536,25904,15623
1024,100000,65536,27026,15594
1024,100000,65536,29200,15273
1024,100000,65536,5466,15271
1024,100000,65536,15387,16163
1024,100000,65536,294,16363
1024,100000,65536,1168,15854
1024,100000,65536,18277,15341
1024,100000,65536,2459,15843
1024,100000,131072,26914,21686
1024,100000,131072,2917,21312
1024,100000,131072,12502,21990
1024,100000,131072,25731,21521
1024,100000,131072,17258,21695
1024,100000,131072,18205,21386
1024,100000,131072,28735,21235
1024,100000,131072,22487,21364
1024,100000,131072,14604,21364
1024,100000,131072,19106,21499
1024,100000,131072,16042,21264
1024,100000,131072,20196,21450
1024,100000,131072,25904,21821
1024,100000,131072,27026,22201
1024,100000,131072,29200,21922
1024,100000,131072,5466,21453
1024,100000,131072,15387,21526
1024,100000,131072,294,21491
1024,100000,131072,1168,21620
1024,100000,131072,18277,21812
1024,100000,131072,2459,21703
1024,100000,262144,26914,23220
1024,100000,262144,2917,23461
1024,100000,262144,12502,25490
1024,100000,262144,25731,23902
1024,100000,262144,17258,24123
1024,100000,262144,18205,23460
1024,100000,262144,28735,24658
1024,100000,262144,22487,23790
1024,100000,262144,14604,23557
1024,100000,262144,19106,23823
1024,100000,262144,16042,23691
1024,100000,262144,20196,24344
1024,100000,262144,25904,23458
1024,100000,262144,27026,24714
1024,100000,262144,29200,23786
1024,100000,262144,5466,24249
1024,100000,262144,15387,23716
1024,100000,262144,294,23882
1024,100000,262144,1168,23740
1024,100000,262144,18277,24766
1024,100000,262144,2459,24192
1024,100000,524288,26914,27716
1024,100000,524288,2917,28544
1024,100000,524288,12502,27897
1024,100000,524288,25731,28664
1024,100000,524288,17258,27800
1024,100000,524288,18205,28137
1024,100000,524288,28735,27957
1024,100000,524288,22487,27886
1024,100000,524288,14604,28054
1024,100000,524288,19106,28167
1024,100000,524288,16042,27658
1024,100000,524288,20196,28591
1024,100000,524288,25904,30115
1024,100000,524288,27026,28213
1024,100000,524288,29200,27247
1024,100000,524288,5466,27173
1024,100000,524288,15387,27491
1024,100000,524288,294,27682
1024,100000,524288,1168,28071
1024,100000,524288,18277,27321
1024,100000,524288,2459,28208
1024,100000,1048576,26914,34823
1024,100000,1048576,2917,35782
1024,100000,1048576,12502,35426
1024,100000,1048576,25731,37132
1024,100000,1048576,17258,35799
1024,100000,1048576,18205,36074
1024,100000,1048576,28735,35523
1024,100000,1048576,22487,36613
1024,100000,1048576,14604,36500
1024,100000,1048576,19106,35553
1024,100000,1048576,16042,36318
1024,100000,1048576,20196,35702
1024,100000,1048576,25904,35268
1024,100000,1048576,27026,35382
1024,100000,1048576,29200,35209
1024,100000,1048576,5466,36062
1024,100000,1048576,15387,36265
1024,100000,1048576,294,36190
1024,100000,1048576,1168,35416
1024,100000,1048576,18277,35361
1024,100000,1048576,2459,37116
1024,100000,2097152,26914,52050
1024,100000,2097152,2917,53124
1024,100000,2097152,12502,53666
1024,100000,2097152,25731,53794
1024,100000,2097152,17258,54290
1024,100000,2097152,18205,52478
1024,100000,2097152,28735,52216
1024,100000,2097152,22487,52177
1024,100000,2097152,14604,52120
1024,100000,2097152,19106,51829
1024,100000,2097152,16042,51739
1024,100000,2097152,20196,51379
1024,100000,2097152,25904,54730
1024,100000,2097152,27026,51977
1024,100000,2097152,29200,52300
1024,100000,2097152,5466,52450
1024,100000,2097152,15387,52064
1024,100000,2097152,294,52058
1024,100000,2097152,1168,53504
1024,100000,2097152,18277,54132
1024,100000,2097152,2459,52457
1024,100000,4194304,26914,96470
1024,100000,4194304,2917,93719
1024,100000,4194304,12502,95263
1024,100000,4194304,25731,97596
1024,100000,4194304,17258,94575
1024,100000,4194304,18205,91921
1024,100000,4194304,28735,94079
1024,100000,4194304,22487,93633
1024,100000,4194304,14604,94504
1024,100000,4194304,19106,95965
1024,100000,4194304,16042,92851
1024,100000,4194304,20196,91686
1024,100000,4194304,25904,94191
1024,100000,4194304,27026,98706
1024,100000,4194304,29200,91657
1024,100000,4194304,5466,93473
1024,100000,4194304,15387,96759
1024,100000,4194304,294,96628
1024,100000,4194304,1168,98160
1024,100000,4194304,18277,93122
1024,100000,4194304,2459,93299
1024,100000,8388608,26914,160602
1024,100000,8388608,2917,161273
1024,100000,8388608,12502,159933
1024,100000,8388608,25731,166346
1024,100000,8388608,17258,165432
1024,100000,8388608,18205,161437
1024,100000,8388608,28735,164035
1024,100000,8388608,22487,163591
1024,100000,8388608,14604,174179
1024,100000,8388608,19106,161389
1024,100000,8388608,16042,163807
1024,100000,8388608,20196,159489
1024,100000,8388608,25904,159859
1024,100000,8388608,27026,165851
1024,100000,8388608,29200,164911
1024,100000,8388608,5466,163037
1024,100000,8388608,15387,161157
1024,100000,8388608,294,159959
1024,100000,8388608,1168,160094
1024,100000,8388608,18277,160510
1024,100000,8388608,2459,157126
