numSample,numWalk,probRestart,seed,time,auc
500,50,0.15,30282,189.568,0.93432259111164
500,50,0.15,30282,196.555,0.93432259111164
500,50,0.15,30282,194.12,0.93432259111164
500,50,0.15,30282,194.626,0.93432259111164
500,50,0.15,30282,194.063,0.93432259111164
500,50,0.15,30282,192.415,0.93432259111164
500,50,0.15,31098,189.702,0.9341846456217796
500,50,0.15,31108,192.028,0.9380905745481499
500,50,0.15,31114,192.155,0.9359677480470776
500,50,0.15,31114,192.654,0.9359677480470776
500,50,0.15,31114,193.008,0.9359677480470776
500,50,0.15,31124,195.312,0.9339077107872022
500,50,0.15,31915,189.447,0.9296389889446198
500,50,0.15,31934,190.188,0.9361082648306632
500,50,0.15,31941,192.479,0.9365371432245915
500,50,0.15,31941,190.141,0.9365371432245915
500,50,0.15,31947,186.976,0.938854364792386
500,50,0.15,31960,193.394,0.9379237986302316
500,50,0.15,32731,195.474,0.9354282807884421
500,50,0.15,32750,196.485,0.9355331248846551
500,50,0.15,32754,192.082,0.9340865290440996
2000,50,0.15,32760,222.104,0.8731095298656222
2000,50,0.15,32767,221.678,0.8746790410765736
2000,50,0.15,25,219.477,0.8751988384338678
2000,50,0.15,799,220.531,0.8795770118194427
2000,50,0.15,809,226.428,0.8741901115285828
2000,50,0.15,822,219.147,0.8714798949324896
2000,50,0.15,913,224.834,0.873549489456542
2000,50,0.15,920,218.033,0.8727705570696231
2000,50,0.15,939,219.941,0.8770869050873592
2000,50,0.15,1713,222.832,0.8737979996996939
2000,50,0.15,1733,219.811,0.8735701281778528
2000,50,0.15,1746,221.629,0.8751066144923512
2000,50,0.15,1824,223.461,0.8736887446726671
2000,50,0.15,1847,225.791,0.8739776448680292
2000,50,0.15,1854,225.017,0.8750039804706679
2000,50,0.15,2644,222.036,0.8727404691634321
2000,50,0.15,2647,225.5,0.8703240928314264
2000,50,0.15,2670,219.384,0.8756650862976705
2000,50,0.15,2755,229.952,0.8740969773266389
2000,50,0.15,2781,221.274,0.8726842136394941
2000,50,0.15,2784,220.813,0.8744058169668606
10000,50,0.15,3565,278.334,0.7456840360893272
10000,50,0.15,3584,271.009,0.7392820427308194
10000,50,0.15,3584,269.181,0.7392820427308194
10000,50,0.15,3702,301.608,0.7421950630954262
10000,50,0.15,3702,302.268,0.7421950630954262
10000,50,0.15,3705,270.416,0.739831192107578
10000,50,0.15,4662,271.355,0.7445110965449289
10000,50,0.15,4672,275.342,0.7413344574995775
10000,50,0.15,4675,297.4,0.7483757346265291
10000,50,0.15,4786,273.349,0.7428171326323455
10000,50,0.15,4891,270.445,0.7397753404864961
10000,50,0.15,4894,267.656,0.739684272285774
10000,50,0.15,5750,269.024,0.7435772766480362
10000,50,0.15,5772,267.295,0.7418743333105757
10000,50,0.15,5847,363.574,0.748863998277095
10000,50,0.15,5883,326.785,0.7493892025051465
10000,50,0.15,5972,265.779,0.7427713215672969
10000,50,0.15,5978,273.926,0.7418969720006799
10000,50,0.15,6827,266.795,0.7408339674420956
10000,50,0.15,6847,255.226,0.740781578739627
10000,50,0.15,7039,291.591,0.7434597199756637
10000,100,0.15,7072,527.283,0.7791452298081694
10000,100,0.15,7150,528.941,0.7798485003611546
10000,100,0.15,7239,521.437,0.7836095075105742
10000,100,0.15,7882,542.055,0.782140327115757
10000,100,0.15,7898,537.562,0.7825806997730376
10000,100,0.15,8192,538.14,0.7828172215389199
10000,100,0.15,8999,531.771,0.7844264303840973
10000,100,0.15,9084,541.507,0.7793571618917748
10000,100,0.15,9146,527.964,0.7826770588911235
10000,100,0.15,9854,599.578,0.7820246026919587
10000,100,0.15,9858,550.207,0.7811440458767929
10000,100,0.15,10155,517.733,0.7770294149820758
10000,100,0.15,10939,534.946,0.7801145258960193
10000,100,0.15,11056,540.893,0.7819337894951414
10000,100,0.15,11072,522.645,0.7824247991458558
10000,100,0.15,11859,505.772,0.7802412814614964
10000,100,0.15,12016,524.876,0.7839960040389864
10000,100,0.15,12049,521.712,0.782105487642924
10000,100,0.15,12891,438.536,0.7803554565131663
10000,100,0.15,12983,452.62,0.7805229933119268
10000,100,0.15,13028,438.481,0.78094319038295
